DATA IN NGS FORMAT FROM DATABASE 19FEB25XA_V002                                                 
   0.00000   0.00000    .00000    .00000    .00000    .00000              477205                
    28.750    21.200   994.760   982.321    63.537    50.000 0 0          477206                
        0.0470582957   0.01327        0.0188083958   0.00942  0           477208                
MATERA    WETTZELL  0458-020 2019 02 26 12 34  51.0000000000              477301                
    1589165.56551456   0.00509   139153.9890070408   0.00477 0      I     477302                
   0.00127    .00000    .00000    .00000   2.920529510456714       0.0    477303                
  0.886   1.274 -0.0086 -0.0189 -0.0497  0.1713        228.755            477304
   0.32295  -0.00409    .00000    .00000    .00000    .00000              477305                
    13.550    11.332   965.975   960.016    38.688    30.649 0 0          477306                
        0.5647271677   0.00788       -0.0186421842   0.00396  0           477308                
MATERA    YARRA12M  0458-020 2019 02 26 12 34  51.0000000000              477401                
  -13292800.73499559   0.01617  1697247.0780742669   0.01768 0      I     477402                
   0.00043    .00000    .00000    .00000  -1.297386222433274       0.0    477403                
  0.886   0.530 -0.0086  0.0006 -0.0497 -0.0038      10854.412            477404
   0.32295   0.00000    .00000    .00000    .00000    .00000              477405                
    13.550    21.200   965.975   982.321    38.688    50.000 0 0          477406                
       -0.9640108412   0.01955       -0.0038592251   0.01123  0           477408                
SEJONG    MATERA    0458-020 2019 02 26 12 34  51.0000000000              477501                
    9376168.45657439   0.00714 -1875648.6293855601   0.00897 0      I     477502                
   0.00105    .00000    .00000    .00000   1.797400842366158       0.0    477503                
  0.233   0.886  0.0041 -0.0086  0.0031 -0.0497      28401.051            477504
   0.00000   0.32295    .00000    .00000    .00000    .00000              477505                
     5.425    13.550   998.975   965.975    43.575    38.688 0 0          477506                
        1.4552913479   0.06461        0.0539422937   0.01743  0           477508                
SEJONG    WETTZELL  0458-020 2019 02 26 12 34  51.0000000000              477601                
   10965335.31758306   0.00457 -1736495.1547185793   0.00573 0      I     477602                
   0.00164    .00000    .00000    .00000   2.658053946056793       0.0    477603                
  0.233   1.274  0.0041 -0.0189  0.0031  0.1713      28629.806            477604
   0.00000  -0.00409    .00000    .00000    .00000    .00000              477605                
     5.425    11.332   998.975   960.016    43.575    30.649 0 0          477606                
        1.9518016437   0.03913        0.0022211345   0.01055  0           477608                
SEJONG    YARRA12M  0458-020 2019 02 26 12 34  51.0000000000              477701                
   -3916616.44543435   0.00751  -178404.0869860417   0.00943 0      I     477702                
   0.00100    .00000    .00000    .00000  -3.551690965638332       0.0    477703                
  0.233   0.530  0.0041  0.0006  0.0031 -0.0038      39255.462            477704
   0.00000   0.00000    .00000    .00000    .00000    .00000              477705                
     5.425    21.200   998.975   982.321    43.575    50.000 0 0          477706                
        0.5112207445   0.05366        0.0105264543   0.01447  0           477708                
WETTZELL  YARRA12M  0458-020 2019 02 26 12 34  51.0000000000              477801                
  -14881968.79727990   0.00857  1558092.8352856236   0.00938 0      I     477802                
   0.00082    .00000    .00000    .00000  -6.188947221478260       0.0    477803                
  1.274   0.530 -0.0189  0.0006  0.1713 -0.0038      10625.657            477804
  -0.00409   0.00000    .00000    .00000    .00000    .00000              477805                
    11.332    21.200   960.016   982.321    30.649    50.000 0 0          477806                
       -1.5280620850   0.01033        0.0112427374   0.00718  0           477808                
KOKEE     NYALES20  1617+229 2019 02 26 12 34  54.0000000000              477901                
    5400592.54399521   0.03657  1403387.9659349578   0.01978 0      I     477902                
   0.00013    .00000    .00000    .00000   2.290809091740937       0.1    477903                
  0.418   0.256 -0.0012 -0.0083 -0.0013  0.0057    -153411.901            477904
  -0.05504   0.04049    .00000    .00000    .00000    .00000              477905                
    10.036   -12.255   886.864  1001.725    95.200    79.625 0 0          477906                
        0.1028131960   0.01586       -0.0320266019   0.00269  0           477908                
ISHIOKA   SEJONG    NRAO150  2019 02 26 12 37   6.0000000000              478001                
   -2159415.37523286   0.00163   -94158.8889151884   0.00471 0      I     478002                
   0.00695    .00000    .00000    .00000   0.929088087906292       0.0    478003                
  0.271   0.176 -0.0046 -0.0020 -0.0042  0.0015     -31075.464            478004
   0.00000   0.00000    .00000    .00000    .00000    .00000              478005                
     5.849     5.484  1007.700   998.900    80.353    43.500 0 0          478006                
       -0.3215175815   0.01494       -0.0259511697   0.00927  0           478008                
HART15M   YARRA12M  2355-534 2019 02 26 12 37  18.0000000000              478101                
   12512795.27762697   0.01931   606131.3421065342   0.05576 0      I     478102                
   0.00059    .00000    .00000    .00000  -0.060635384331142       0.0    478103                
  0.605   1.506  0.0018 -0.0090 -0.0006 -0.0428       5205.597            478104
   0.00000   0.00000    .00000    .00000    .00000    .00000              478105                
    28.100    21.200   860.300   982.385    43.297    50.000 0 0          478106                
       -0.2467982273   0.01793       -0.0022298368   0.03159  0           478108                
ISHIOKA   KOKEE     1053+704 2019 02 26 12 38  48.0000000000              478201                
    2600472.53794332   0.02303   445890.8489098427   0.03168 0      I     478202                
   0.00034    .00000    .00000    .00000  -2.090524064590711       0.0    478203                
  0.239   0.356 -0.0045 -0.0038  0.0012  0.0002       7539.856            478204
   0.00000  -0.05579    .00000    .00000    .00000    .00000              478205                
     5.973    10.100  1007.673   886.800    79.846    95.200 0 0          478206                
        0.1575120235   0.01574       -0.0083158773   0.01200  0           478208                
ISHIOKA   MATERA    1053+704 2019 02 26 12 38  48.0000000000              478301                
    8598789.53381823   0.03205   142524.9294645026   0.03354 0      I     478302                
   0.00021    .00000    .00000    .00000   2.983849094850547       0.1    478303                
  0.239   0.477 -0.0045  0.0102  0.0012 -0.0013      -2674.440            478304
   0.00000   0.32107    .00000    .00000    .00000    .00000              478305                
     5.973    13.200  1007.673   965.787    79.846    39.908 0 0          478306                
        0.7616593632   0.02827        0.0118095054   0.01479  0           478308                
ISHIOKA   NYALES20  1053+704 2019 02 26 12 38  48.0000000000              478401                
   -2022793.67298444   0.02250   242987.0230428710   0.02499 0      I     478402                
   0.00031    .00000    .00000    .00000   0.811034883894014       0.0    478403                
  0.239   0.101 -0.0045 -0.0014  0.0012 -0.0001    -145871.740            478404
   0.00000   0.06594    .00000    .00000    .00000    .00000              478405                
     5.973   -12.548  1007.673  1001.745    79.846    79.662 0 0          478406                
        0.1518160224   0.01968       -0.0252216757   0.01317  0           478408                
ISHIOKA   WETTZELL  1053+704 2019 02 26 12 38  48.0000000000              478501                
    5870960.63873515   0.01372   181714.5118689259   0.01436 0      I     478502                
   0.00050    .00000    .00000    .00000   3.243622083376255       0.0    478503                
  0.239   0.280 -0.0045  0.0053  0.0012  0.0008      -2445.644            478504
   0.00000  -0.00664    .00000    .00000    .00000    .00000              478505                
     5.973    11.500  1007.673   960.084    79.846    30.900 0 0          478506                
        1.2992720106   0.01423       -0.0046507767   0.00927  0           478508                
KOKEE     MATERA    1053+704 2019 02 26 12 38  48.0000000000              478601                
    5998317.80760424   0.03740  -303365.6253508802   0.05143 0      I     478602                
   0.00021    .00000    .00000    .00000   1.747608784729383       0.1    478603                
  0.356   0.477 -0.0038  0.0102  0.0002 -0.0013     -10214.296            478604
  -0.05579   0.32107    .00000    .00000    .00000    .00000              478605                
    10.100    13.200   886.800   965.787    95.200    39.908 0 0          478606                
        0.6181089234   0.02133        0.0133647149   0.01225  0           478608                
KOKEE     NYALES20  1053+704 2019 02 26 12 38  48.0000000000              478701                
   -4623265.68997568   0.02899  -202903.6289602324   0.04025 0      I     478702                
   0.00027    .00000    .00000    .00000  -1.451669269652072       0.1    478703                
  0.356   0.101 -0.0038 -0.0014  0.0002 -0.0001    -153411.596            478704
  -0.05579   0.06594    .00000    .00000    .00000    .00000              478705                
    10.100   -12.548   886.800  1001.745    95.200    79.662 0 0          478706                
        0.0124211531   0.01564       -0.0611251288   0.01023  0           478708                
KOKEE     WETTZELL  1053+704 2019 02 26 12 38  48.0000000000              478801                
    3270488.75595619   0.01783  -264176.0894789965   0.02451 0      I     478802                
   0.00044    .00000    .00000    .00000   3.072323301004614       0.0    478803                
  0.356   0.280 -0.0038  0.0053  0.0002  0.0008      -9985.499            478804
  -0.05579  -0.00664    .00000    .00000    .00000    .00000              478805                
    10.100    11.500   886.800   960.084    95.200    30.900 0 0          478806                
        1.1539547051   0.01123       -0.0083332136   0.00821  0           478808                
MATERA    NYALES20  1053+704 2019 02 26 12 38  48.0000000000              478901                
  -10621584.06099716   0.02520   100461.7801554766   0.02799 0      I     478902                
   0.00028    .00000    .00000    .00000  -2.612473677683978       0.0    478903                
  0.477   0.101  0.0102 -0.0014 -0.0013 -0.0001    -143197.300            478904
   0.32107   0.06594    .00000    .00000    .00000    .00000              478905                
    13.200   -12.548   965.787  1001.745    39.908    79.662 0 0          478906                
       -0.6243704804   0.02064       -0.0117978960   0.01126  0           478908                
MATERA    WETTZELL  1053+704 2019 02 26 12 38  48.0000000000              479001                
   -2727829.24493333   0.01074    39189.6096110205   0.00693 0      I     479002                
   0.00050    .00000    .00000    .00000  -4.479594612649811       0.0    479003                
  0.477   0.280  0.0102  0.0053 -0.0013  0.0008        228.797            479004
   0.32107  -0.00664    .00000    .00000    .00000    .00000              479005                
    13.200    11.500   965.787   960.084    39.908    30.900 0 0          479006                
        0.5224825113   0.01207       -0.0132262010   0.00405  0           479008                
NYALES20  WETTZELL  1053+704 2019 02 26 12 38  48.0000000000              479101                
    7893754.17204732   0.01055   -61272.4915974846   0.01172 0      I     479102                
   0.00067    .00000    .00000    .00000   2.823074592474681       0.0    479103                
  0.101   0.280 -0.0014  0.0053 -0.0001  0.0008     143426.096            479104
   0.06594  -0.00664    .00000    .00000    .00000    .00000              479105                
   -12.548    11.500  1001.745   960.084    79.662    30.900 0 0          479106                
        1.1302878646   0.00997        0.0254298005   0.00678  0           479108                
KATH12M   SEJONG    0727-115 2019 02 26 12 39   9.0000000000              479201                
    6926817.87765794   0.00537  -125934.2828701910   0.01124 0      I     479202                
   0.00180    .00000    .00000    .00000   3.211816749425766       0.0    479203                
  1.054   0.201 -0.0000  0.0050 -0.0000  0.0000     -40287.901            479204
   0.00000   0.00000    .00000    .00000    .00000    .00000              479205                
    28.740     5.400   994.836   998.900    64.480    43.482 0 0          479206                
       -0.3621026939   0.05688       -0.0122840145   0.02557  0           479208                
KATH12M   YARRA12M  0727-115 2019 02 26 12 39   9.0000000000              479301                
    1224603.77549672   0.01005  -400805.5847480291   0.02962 0      I     479302                
   0.00115    .00000    .00000    .00000   1.935566838141960       0.0    479303                
  1.054   0.462 -0.0000  0.0003 -0.0000  0.0014      -1032.258            479304
   0.00000   0.00000    .00000    .00000    .00000    .00000              479305                
    28.740    21.183   994.836   982.300    64.480    50.000 0 0          479306                
        0.0469066135   0.01250        0.0552895813   0.02346  0           479308                
SEJONG    YARRA12M  0727-115 2019 02 26 12 39   9.0000000000              479401                
   -5702212.18990640   0.00715  -274871.3100050363   0.02107 0      I     479402                
   0.00161    .00000    .00000    .00000  -2.981822162944888       0.0    479403                
  0.201   0.462  0.0050  0.0003  0.0000  0.0014      39255.643            479404
   0.00000   0.00000    .00000    .00000    .00000    .00000              479405                
     5.400    21.183   998.900   982.300    43.482    50.000 0 0          479406                
        0.5205936805   0.05316        0.0543312041   0.03364  0           479408                
ISHIOKA   KATH12M   OJ287    2019 02 26 12 41   5.0000000000              479501                
    3436675.14903664   0.00674  -225008.2000875863   0.01544 0      I     479502                
   0.00150    .00000    .00000    .00000   3.158097328129450       0.0    479503                
  0.187   1.327  0.0014 -0.0006  0.0004  0.0002       9212.325            479504
   0.00000   0.00000    .00000    .00000    .00000    .00000              479505                
     5.900    28.672  1007.600   994.881    80.520    63.752 0 0          479506                
       -0.0210450457   0.00818        0.0016599958   0.01192  0           479508                
ISHIOKA   KOKEE     OJ287    2019 02 26 12 41   5.0000000000              479601                
    6345027.90877430   0.00614  1226720.3208711392   0.01479 0      I     479602                
   0.00169    .00000    .00000    .00000   1.535291196300015       0.0    479603                
  0.187   0.355  0.0014 -0.0005  0.0004  0.0009       7539.815            479604
   0.00000  -0.05634    .00000    .00000    .00000    .00000              479605                
     5.900    10.080  1007.600   886.800    80.520    95.200 0 0          479606                
        0.1623620787   0.00402       -0.0067574682   0.00526  0           479608                
ISHIOKA   NYALES20  OJ287    2019 02 26 12 41   5.0000000000              479701                
   15778489.94411801   0.00473   -43938.0039238565   0.01100 0      I     479702                
   0.00217    .00000    .00000    .00000   1.612559885851465       0.0    479703                
  0.187   0.413  0.0014 -0.0341  0.0004 -0.0108    -145871.602            479704
   0.00000   0.01782    .00000    .00000    .00000    .00000              479705                
     5.900   -12.427  1007.600  1001.700    80.520    81.144 0 0          479706                
        0.2073529386   0.00417       -0.0508513540   0.00586  0           479708                
ISHIOKA   SEJONG    OJ287    2019 02 26 12 41   5.0000000000              479801                
     868256.20854104   0.00366  -255495.5975206501   0.01056 0      I     479802                
   0.00310    .00000    .00000    .00000   0.441897853623657       0.0    479803                
  0.187   0.127  0.0014  0.0008  0.0004 -0.0006     -31075.510            479804
   0.00000   0.00000    .00000    .00000    .00000    .00000              479805                
     5.900     5.400  1007.600   998.900    80.520    43.400 0 0          479806                
       -0.2720171826   0.02861        0.0424801591   0.01775  0           479808                
KATH12M   KOKEE     OJ287    2019 02 26 12 41   5.0000000000              479901                
    2908347.80448568   0.00726  1451728.9660482537   0.01748 0      I     479902                
   0.00143    .00000    .00000    .00000  -0.951943203223298       0.0    479903                
  1.327   0.355 -0.0006 -0.0005  0.0002  0.0009      -1672.510            479904
   0.00000  -0.05634    .00000    .00000    .00000    .00000              479905                
    28.672    10.080   994.881   886.800    63.752    95.200 0 0          479906                
        0.1791413263   0.00666       -0.0134734248   0.00975  0           479908                
KATH12M   NYALES20  OJ287    2019 02 26 12 41   5.0000000000              480001                
   12341814.19935730   0.00812   181070.6529103826   0.01724 0      I     480002                
   0.00121    .00000    .00000    .00000   3.906592334617780       0.0    480003                
  1.327   0.413 -0.0006 -0.0341  0.0002 -0.0108    -155083.928            480004
   0.00000   0.01782    .00000    .00000    .00000    .00000              480005                
    28.672   -12.427   994.881  1001.700    63.752    81.144 0 0          480006                
        0.2227407923   0.00749       -0.0413844195   0.00969  0           480008                
KATH12M   SEJONG    OJ287    2019 02 26 12 41   5.0000000000              480101                
   -2568418.81335114   0.00557   -30487.4028183758   0.01608 0      I     480102                
   0.00204    .00000    .00000    .00000  -3.644170566071879       0.0    480103                
  1.327   0.127 -0.0006  0.0008  0.0002 -0.0006     -40287.836            480104
   0.00000   0.00000    .00000    .00000    .00000    .00000              480105                
    28.672     5.400   994.881   998.900    63.752    43.400 0 0          480106                
       -0.2153826009   0.06204       -0.0674749666   0.03849  0           480108                
KOKEE     NYALES20  OJ287    2019 02 26 12 41   5.0000000000              480201                
    9433470.08119608   0.00782 -1270656.2337806365   0.01914 0      I     480202                
   0.00134    .00000    .00000    .00000   0.833648383921122       0.0    480203                
  0.355   0.413 -0.0005 -0.0341  0.0009 -0.0108    -153411.418            480204
  -0.05634   0.01782    .00000    .00000    .00000    .00000              480205                
    10.080   -12.427   886.800  1001.700    95.200    81.144 0 0          480206                
        0.0472293990   0.00407       -0.0599679202   0.00451  0           480208                
KOKEE     SEJONG    OJ287    2019 02 26 12 41   5.0000000000              480301                
   -5476762.30956164   0.00442 -1482214.2725478965   0.01276 0      I     480302                
   0.00257    .00000    .00000    .00000  -0.132167849598778       0.0    480303                
  0.355   0.127 -0.0005  0.0008  0.0009 -0.0006     -38615.326            480304
  -0.05634   0.00000    .00000    .00000    .00000    .00000              480305                
    10.080     5.400   886.800   998.900    95.200    43.400 0 0          480306                
       -0.4225573004   0.01905        0.0205754511   0.01181  0           480308                
SEJONG    NYALES20  OJ287    2019 02 26 12 41   5.0000000000              480401                
   14910233.54252378   0.00390   211557.7733892141   0.01150 0      I     480402                
   0.00296    .00000    .00000    .00000   3.851156239682799       0.0    480403                
  0.127   0.413  0.0008 -0.0341 -0.0006 -0.0108    -114796.092            480404
   0.00000   0.01782    .00000    .00000    .00000    .00000              480405                
     5.400   -12.427   998.900  1001.700    43.400    81.144 0 0          480406                
        0.4089622874   0.02820       -0.1318747836   0.01785  0           480408                
HART15M   YARRA12M  CTA26    2019 02 26 12 41   8.0000000000              480501                
    1621051.98635723   0.10995  1902978.2720775718   0.14302 2      I     480502                
   0.00007    .00000    .00000    .00000   2.803390636225688       0.2    480503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            480504
   0.00000   0.00000    .00000    .00000    .00000    .00000              480505                
    28.151    21.075   860.300   982.300    43.892    50.000 0 0          480506                
       -0.5564842770   0.04493        2.2793764924   0.01370  0           480508                
HART15M   KATH12M   1057-797 2019 02 26 12 43  56.0000000000              480601                
   -1363865.25650062   0.00961   -64305.5984953014   0.01361 0      I     480602                
   0.00083    .00000    .00000    .00000  -4.942535633363812       0.0    480603                
  1.734   2.885  0.0318  0.0044  0.0028  0.0005       6237.690            480604
   0.00000   0.00000    .00000    .00000    .00000    .00000              480605                
    28.335    28.582   860.300   994.982    43.081    63.640 0 0          480606                
       -0.6602728713   0.01142       -0.0053175623   0.01024  0           480608                
HART15M   YARRA12M  1057-797 2019 02 26 12 43  56.0000000000              480701                
   -5321576.21254828   0.00848   -86354.1886815044   0.01201 0      I     480702                
   0.00094    .00000    .00000    .00000  -4.590202616939636       0.0    480703                
  1.734   0.826  0.0318 -0.0031  0.0028  0.0031       5205.800            480704
   0.00000   0.00000    .00000    .00000    .00000    .00000              480705                
    28.335    21.000   860.300   982.300    43.081    50.000 0 0          480706                
       -0.6394756189   0.01021       -0.0139024931   0.00918  0           480708                
KATH12M   YARRA12M  1057-797 2019 02 26 12 43  56.0000000000              480801                
   -3957710.97043268   0.01108   -22048.5950686478   0.01554 0      I     480802                
   0.00071    .00000    .00000    .00000  -1.297454266199126       0.0    480803                
  2.885   0.826  0.0044 -0.0031  0.0005  0.0031      -1031.890            480804
   0.00000   0.00000    .00000    .00000    .00000    .00000              480805                
    28.582    21.000   994.982   982.300    63.640    50.000 0 0          480806                
        0.0461190624   0.01739        0.0121880687   0.01584  0           480808                
ISHIOKA   KOKEE     0805+410 2019 02 26 12 44  19.0000000000              480901                
    9607700.27843663   0.00833   906154.3121495505   0.00398 0      I     480902                
   0.00055    .00000    .00000    .00000   0.003665987922413       0.0    480903                
  0.167   0.404 -0.0004 -0.0033 -0.0002  0.0010       7539.757            480904
   0.00000  -0.05447    .00000    .00000    .00000    .00000              480905                
     5.940    10.039  1007.600   886.800    79.926    95.239 0 0          480906                
        0.1668771995   0.00676       -0.0077824882   0.00191  0           480908                
ISHIOKA   MATERA    0805+410 2019 02 26 12 44  19.0000000000              481001                
   17989993.20882977   0.01334  -862079.2514734237   0.00638 0      I     481002                
   0.00035    .00000    .00000    .00000   2.211820133283351       0.0    481003                
  0.167   1.264 -0.0004  0.0496 -0.0002 -0.0459      -2674.512            481004
   0.00000   0.34332    .00000    .00000    .00000    .00000              481005                
     5.940    13.226  1007.600   965.700    79.926    39.588 0 0          481006                
        0.8415166544   0.01480        0.0107687742   0.00368  0           481008                
ISHIOKA   NYALES20  0805+410 2019 02 26 12 44  19.0000000000              481101                
    9096307.32441404   0.00850  -268116.1933054249   0.00409 0      I     481102                
   0.00055    .00000    .00000    .00000   3.857877525641941       0.0    481103                
  0.167   0.145 -0.0004 -0.0035 -0.0002 -0.0015    -145871.408            481104
   0.00000   0.02874    .00000    .00000    .00000    .00000              481105                
     5.940   -12.208  1007.600  1001.486    79.926    84.425 0 0          481106                
        0.1610882861   0.00936       -0.0118964296   0.00283  0           481108                
ISHIOKA   SEJONG    0805+410 2019 02 26 12 44  19.0000000000              481201                
      43187.52972210   0.00555  -212714.5397954797   0.00284 0      I     481202                
   0.00086    .00000    .00000    .00000   5.377105998985197       0.0    481203                
  0.167   0.112 -0.0004 -0.0002 -0.0002 -0.0001     -31075.546            481204
   0.00000   0.00000    .00000    .00000    .00000    .00000              481205                
     5.940     5.400  1007.600   998.900    79.926    43.281 0 0          481206                
       -0.3631334749   0.05141       -0.0036133321   0.00565  0           481208                
ISHIOKA   WETTZELL  0805+410 2019 02 26 12 44  19.0000000000              481301                
   16332323.58511239   0.00620  -728415.6365330002   0.00298 0      I     481302                
   0.00075    .00000    .00000    .00000   2.148761139202182       0.0    481303                
  0.167   0.614 -0.0004  0.0244 -0.0002  0.0265      -2445.657            481304
   0.00000  -0.00655    .00000    .00000    .00000    .00000              481305                
     5.940    11.461  1007.600   959.961    79.926    30.939 0 0          481306                
        1.3899427549   0.00743        0.0271017593   0.00226  0           481308                
KOKEE     MATERA    0805+410 2019 02 26 12 44  19.0000000000              481401                
    8382309.92014574   0.01560 -1768231.3479509836   0.00746 0      I     481402                
   0.00030    .00000    .00000    .00000   4.779879873993914       0.0    481403                
  0.404   1.264 -0.0033  0.0496  0.0010 -0.0459     -10214.269            481404
  -0.05447   0.34332    .00000    .00000    .00000    .00000              481405                
    10.039    13.226   886.800   965.700    95.239    39.588 0 0          481406                
        0.6716301378   0.00958        0.0094960061   0.00201  0           481408                
KOKEE     NYALES20  0805+410 2019 02 26 12 44  19.0000000000              481501                
    -511381.67340020   0.01080 -1174269.0262654221   0.00520 0      I     481502                
   0.00043    .00000    .00000    .00000  -5.076617804766030       0.0    481503                
  0.404   0.145 -0.0033 -0.0035  0.0010 -0.0015    -153411.165            481504
  -0.05447   0.02874    .00000    .00000    .00000    .00000              481505                
    10.039   -12.208   886.800  1001.486    95.239    84.425 0 0          481506                
       -0.0052294102   0.00617       -0.0059487920   0.00148  0           481508                
KOKEE     SEJONG    0805+410 2019 02 26 12 44  19.0000000000              481601                
   -9564501.99506315   0.00551 -1118868.1641127579   0.00282 0      I     481602                
   0.00087    .00000    .00000    .00000  -5.941611461559331       0.0    481603                
  0.404   0.112 -0.0033 -0.0002  0.0010 -0.0001     -38615.303            481604
  -0.05447   0.00000    .00000    .00000    .00000    .00000              481605                
    10.039     5.400   886.800   998.900    95.239    43.281 0 0          481606                
       -0.4997181720   0.03059        0.0092968615   0.00336  0           481608                
KOKEE     WETTZELL  0805+410 2019 02 26 12 44  19.0000000000              481701                
    6724638.99649500   0.00759 -1634567.8502283185   0.00364 0      I     481702                
   0.00061    .00000    .00000    .00000   1.382356108066961       0.0    481703                
  0.404   0.614 -0.0033  0.0244  0.0010  0.0265      -9985.414            481704
  -0.05447  -0.00655    .00000    .00000    .00000    .00000              481705                
    10.039    11.461   886.800   959.961    95.239    30.939 0 0          481706                
        1.2339192995   0.00517        0.0332593307   0.00137  0           481708                
MATERA    NYALES20  0805+410 2019 02 26 12 44  19.0000000000              481801                
   -8893696.58615251   0.01092   593963.1842718073   0.00526 0      I     481802                
   0.00042    .00000    .00000    .00000  -3.227636991565273       0.0    481803                
  1.264   0.145  0.0496 -0.0035 -0.0459 -0.0015    -143196.896            481804
   0.34332   0.02874    .00000    .00000    .00000    .00000              481805                
    13.226   -12.208   965.700  1001.486    39.588    84.425 0 0          481806                
       -0.6747273174   0.01210       -0.0153657895   0.00302  0           481808                
MATERA    WETTZELL  0805+410 2019 02 26 12 44  19.0000000000              481901                
   -1657672.04182798   0.00645   133663.7118255730   0.00309 0      I     481902                
   0.00072    .00000    .00000    .00000   1.529989508359940       0.0    481903                
  1.264   0.614  0.0496  0.0244 -0.0459  0.0265        228.855            481904
   0.34332  -0.00655    .00000    .00000    .00000    .00000              481905                
    13.226    11.461   965.700   959.961    39.588    30.939 0 0          481906                
        0.5307475716   0.00967        0.0205333571   0.00248  0           481908                
NYALES20  WETTZELL  0805+410 2019 02 26 12 44  19.0000000000              482001                
    7236020.50631112   0.00443  -460299.3736417048   0.00214 1      I     482002                
   0.00105    .00000    .00000    .00000  -2.010837757401687       0.0    482003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            482004
   0.02874  -0.00655    .00000    .00000    .00000    .00000              482005                
   -12.208    11.461  1001.486   959.961    84.425    30.939 0 0          482006                
        1.2458232948   0.00575        0.0420198713   0.00178  0           482008                
SEJONG    MATERA    0805+410 2019 02 26 12 44  19.0000000000              482101                
   17946805.72813081   0.00879  -649364.8588817558   0.00450 0      I     482102                
   0.00054    .00000    .00000    .00000  -0.629984204821749       0.0    482103                
  0.112   1.264 -0.0002  0.0496 -0.0001 -0.0459      28401.034            482104
   0.00000   0.34332    .00000    .00000    .00000    .00000              482105                
     5.400    13.226   998.900   965.700    43.281    39.588 0 0          482106                
        1.1314703800   0.06435       -0.0070937048   0.00708  0           482108                
SEJONG    NYALES20  0805+410 2019 02 26 12 44  19.0000000000              482201                
    9053119.79841769   0.00647   -55401.6445680873   0.00331 0      I     482202                
   0.00074    .00000    .00000    .00000   4.979269146911492       0.0    482203                
  0.112   0.145 -0.0002 -0.0035 -0.0001 -0.0015    -114795.862            482204
   0.00000   0.02874    .00000    .00000    .00000    .00000              482205                
     5.400   -12.208   998.900  1001.486    43.281    84.425 0 0          482206                
        0.5076794966   0.04913       -0.0280848095   0.00540  0           482208                
SEJONG    WETTZELL  0805+410 2019 02 26 12 44  19.0000000000              482301                
   16289136.08753075   0.00453  -515701.2005392853   0.00233 0      I     482302                
   0.00106    .00000    .00000    .00000   5.084707422893255       0.0    482303                
  0.112   0.614 -0.0002  0.0244 -0.0001  0.0265      28629.889            482304
   0.00000  -0.00655    .00000    .00000    .00000    .00000              482305                
     5.400    11.461   998.900   959.961    43.281    30.939 0 0          482306                
        1.6449419339   0.04474        0.0284698063   0.00494  0           482308                
KATH12M   YARRA12M  1104-445 2019 02 26 12 45  51.0000000000              482401                
     596389.81084623   0.01873   -82316.9360903235   0.03424 0      I     482402                
   0.00048    .00000    .00000    .00000   0.383358709965544       0.0    482403                
  1.623   0.745  0.0008 -0.0015  0.0007  0.0106      -1031.743            482404
   0.00000   0.00000    .00000    .00000    .00000    .00000              482405                
    28.515    21.000   995.018   982.300    64.543    50.000 0 0          482406                
        0.0224856664   0.02215        0.0614574780   0.02566  0           482408                
ISHIOKA   KATH12M   0955+476 2019 02 26 12 47  52.0000000000              482501                
   11748738.18352365   0.01993  -191621.7700632866   0.03062 0      I     482502                
   0.00042    .00000    .00000    .00000   0.483666472686296       0.0    482503                
  0.192   2.662 -0.0012 -0.0030  0.0009  0.0012       9212.013            482504
   0.00000   0.00000    .00000    .00000    .00000    .00000              482505                
     6.067    28.494  1007.600   995.061    78.833    63.942 0 0          482506                
        0.1349233247   0.01756        0.0614123609   0.01627  0           482508                
ISHIOKA   KOKEE     0955+476 2019 02 26 12 47  52.0000000000              482601                
    3707784.74796860   0.01650   919754.0507823629   0.02535 0      I     482602                
   0.00050    .00000    .00000    .00000   4.206666673603547       0.0    482603                
  0.192   0.300 -0.0012 -0.0016  0.0009  0.0003       7539.692            482604
   0.00000  -0.05209    .00000    .00000    .00000    .00000              482605                
     6.067    10.121  1007.600   886.800    78.833    95.300 0 0          482606                
        0.1613260257   0.00926        0.0045146981   0.00696  0           482608                
ISHIOKA   NYALES20  0955+476 2019 02 26 12 47  52.0000000000              482701                
    6980483.40818261   0.01318   211680.6324812554   0.02024 0      I     482702                
   0.00063    .00000    .00000    .00000   3.081101878905842       0.0    482703                
  0.192   0.158 -0.0012 -0.0040  0.0009 -0.0007    -145871.196            482704
   0.00000   0.06624    .00000    .00000    .00000    .00000              482705                
     6.067   -12.201  1007.600  1001.448    78.833    83.943 0 0          482706                
        0.1999403266   0.00954        0.0548666774   0.00833  0           482708                
ISHIOKA   SEJONG    0955+476 2019 02 26 12 47  52.0000000000              482801                
    1172072.90108651   0.00945  -166665.4830373766   0.01451 0      I     482802                
   0.00088    .00000    .00000    .00000  -1.634042541100698       0.0    482803                
  0.192   0.053 -0.0012 -0.0008  0.0009 -0.0005     -31075.592            482804
   0.00000   0.00000    .00000    .00000    .00000    .00000              482805                
     6.067     5.400  1007.600   998.910    78.833    43.006 0 0          482806                
       -0.1295666856   0.05228       -0.0163443906   0.01724  0           482808                
